HD_LastUpdate,HD_Notes,Interference,aant_rotation_deg,actual_erp,amsl,antenna_type,app_id,banner,base_callsign,bc_mode,bearing,callsign,city,class,class_flag,country,create_ts,digital_erp,distance,erp,erphpk,erpvpk,facility_id,field_strength,format,format2,format3,format_id,frequency,haat,hagl,hd2_format,hd2_slogan,hd3_format,hd3_slogan,hd4_format,hd4_slogan,index,language_id,last_update_ts,lat,level_0,lon,market,mlb,mode,nba,new_erp,new_format,nfl,nhl,npr,owner,pi_code,population,prl,ps_info,radiotext,range_flag,rank,receiver_hagl,relay,search_lat,search_location,search_lon,service_code,slogan,sp,status_date,strong_iboc,supertranslator,timeShare,uneven_polarization
,,[],,1.75,156.0,NDIR,25076f9189d741e80189daf7dfba0234,,WNVU,,30,WNVU,NEW ROCHELLE,A,4.0,USA,2023-08-09T11:43:44.977Z,0.175,13.38,1.75,1.75,1.75,28023,70.07,Spanish Religious,,,417.0,93.5,132.0,101.0,Christian Contemporary,WAY FM,Christian Worship,Worship 24/7,,,,,2023-08-10T00:00:00.000Z,40.8801111111,118,73.8773611111,,,HD,,1.75,Spanish Religious,,,False,Hope Media Group,7932,,,WNVU,Title & Artist,29.8953662182,,10,,40.7128,"New York, NY",-74.006,FM,VIDA UNIDA,NY,2023-09-07T00:00:00.000Z,True,0.0,False,0.0
,,[],,0.01,259.0,NDIR,01730d763b074a32a9efc1b6063ebeb7,,W220EJ,,19,W220EJ,WEEHAWKEN,D,3.5,USA,2019-03-14T20:10:50.829Z,,3.17,0.01,0.01,0.01,93996,72.77,Variety,,,35.0,91.9,,244.0,,,,,,,,,2017-06-30T00:00:00.000Z,40.7562222222,590,73.98625,New York,,,,0.01,Variety,,,False,Auricle Communications,,"16,662,000",,,,110.4100946372,1.0,10,WFMU 91.1,40.7128,"New York, NY",-74.006,FX,,NJ,2017-07-06T00:00:00.000Z,False,1.0,False,0.0
,,"['WFME-FM,Same Channel,72.95']",,0.105,181.0,DRL,efab64272cbe4910ad96c1b6063ebeb7,,W224CW,,237,W224CW,FRANKLIN TOWNSHIP,D,2.5,USA,2019-03-14T20:11:48.908Z,,29.41,0.105,0.105,0.105,143028,48.31,Ethnic,,,317.0,92.7,,151.0,,,,,,,,,2016-05-17T00:00:00.000Z,40.4791666667,638,74.4746944444,Middlesex-Somerset-Union,,,,0.105,Ethnic,,,False,RAHUL WALIA,D15B,"1,536,000",,,,8.5005100306,42.0,10,WPRB-HD2,40.7128,"New York, NY",-74.006,FX,RADIO MIRCHI,NJ,2016-06-02T00:00:00.000Z,False,0.0,False,0.0
,,"['WJLK-FM,Same Channel,49.36']",,0.075,162.0,NDIR,25076ff3958c41960195a9158aa80c46,,W232AL,,7,W232AL,POMONA,D,2.5,USA,2025-03-18T07:48:34.460Z,,9.84,0.075,0.075,0.075,24106,68.11,Contemporary Christian,,,12.0,94.3,135.0,77.0,,,,,,,,,2025-03-19T00:00:00.000Z,40.8541666667,746,73.9827777778,New York,,,,0.075,Contemporary Christian,,,False,Educational Media Foundation,0000,"16,662,000",,,,25.406504065,1.0,10,WPLJ -HD3,40.7128,"New York, NY",-74.006,FX,THE BRIDGE,NY,2025-04-07T00:00:00.000Z,False,0.0,False,0.0
,,[],,0.027,284.0,DRL,3425cbbac1434cbcb61ac1b6063ebeb7,,W236CH,,36,W236CH,FORT GREENE,D,3.5,USA,2019-03-14T20:11:25.696Z,,3.39,0.027,0.027,0.027,139395,76.42,Contemporary Christian,,,12.0,95.1,,275.0,,,,,,,,,2016-10-12T00:00:00.000Z,40.7525555556,812,73.9679166667,New York,,,,0.027,Contemporary Christian,,,False,"BRIDGELIGHT, LLC",6E8B,"16,662,000",,Bridge,,103.2448377581,1.0,10,WPLJ-HD3,40.7128,"New York, NY",-74.006,FX,BRIDGE RADIO,NY,2016-10-25T00:00:00.000Z,False,1.0,False,0.0
,,"['W236CH,Same Channel,76.42', 'WAYV,Same Channel,29.75', 'WRKI,Same Channel,33.73', 'WZZO,Same Channel,33.97']",,0.124,166.9,DRL,25076f918a058ddc018a19b1de350c8e,,W236CT,,237,W236CT,WOODBRIDGE,D,2.5,USA,2023-08-21T16:03:21.703Z,,29.42,0.032062959,0.124,0.124,138032,42.35,Oldies,,,23.0,95.1,,137.0,,,,,,,,,2023-08-22T00:00:00.000Z,40.4791666667,814,74.4747222222,Middlesex-Somerset-Union,,,,0.124,Oldies,,,False,"SRN Communications, Inc.",FFFF,"1,536,000",,,,8.4976206662,42.0,10,WPRB-HD3,40.7128,"New York, NY",-74.006,FX,WOLD,NJ,2023-09-12T00:00:00.000Z,False,0.0,False,0.0
,,"['W240CY,Same Channel,38.12', 'WFOX,Same Channel,45.38', 'WNJI-LP,Same Channel,58.03', 'WRAT,Same Channel,38.37', 'WZYE-LP,Same Channel,57.37']",,0.19,84.0,DRL,d1478fde38d04b70bd6bc1b6063ebeb7,,W240DF,,102,W240DF,FREEPORT,D,3.5,USA,2019-03-14T20:11:25.696Z,,22.95,0.140524,0.19,0.19,139350,43.27,Ethnic,,,317.0,95.9,,82.0,,,,,,,,,2016-12-15T00:00:00.000Z,40.6456666667,867,73.5770833333,Nassau-Suffolk,,,,0.19,Ethnic,,,False,"WGBB-AM, INC.",,"2,564,000",,,,15.2505446623,20.0,10,WGBB-1240,40.7128,"New York, NY",-74.006,FX,,NY,2017-01-23T00:00:00.000Z,False,1.0,False,0.0
,,"['W244EE,Same Channel,35.22', 'WARW,Same Channel,72.91']",,0.09,98.0,DRL,25076f916fa4bb08016fafae326b0830,,W244DU,,234,W244DU,PARSIPPANY,D,2.5,USA,2020-01-16T13:47:06.548Z,,20.76,0.0830477124,0.09,0.09,141372,50.28,Ethnic,,,317.0,96.7,,31.0,,,,,,,,,2020-01-21T00:00:00.000Z,40.5348333333,938,74.3248611111,Middlesex-Somerset-Union,,,,0.09,Ethnic,,,False,Zindagi 967 FM LLC,,"1,536,000",,,,12.04238921,42.0,10,WWTR 1170,40.7128,"New York, NY",-74.006,FX,EBC RADIO 1170,NJ,2020-01-22T00:00:00.000Z,False,0.0,False,0.0
,,"['WALK-FM,Same Channel,44.64', 'WPEN,same-channel 5010,48.49']",,0.075,215.4,DRL,25076f9198d1eaab01991be5e3dd0c8d,,W248CG,,197,W248CG,NEW YORK,D,3.5,USA,2025-09-05T18:01:13.834Z,,0.54,3.6963e-05,0.075,0.075,140791,63.48,Religious Teaching,,,362.0,97.5,,213.0,,,,,,,,,2025-09-08T00:00:00.000Z,40.7053611111,1005,74.0090277778,New York,,,,0.075,Religious Teaching,,,False,"CANTICO NUEVO MINISTRY, INC.",,"16,662,000",,,,648.1481481481,1.0,10,WJDM-1520,40.7128,"New York, NY",-74.006,FX,RADIO CANTICO NUEVO,NY,2025-09-10T00:00:00.000Z,False,1.0,False,0.0
,,"['WKJY,Same Channel,62.88', 'WMGQ,Same Channel,58.28']",,0.12,118.2,DRL,25076ff386522791018684c299530f36,,W252CS,,7,W252CS,Palisades Park,D,2.5,USA,2023-02-24T13:49:51.122Z,,9.27,0.0704842752,0.12,0.12,155892,65.21,Ethnic,,,317.0,98.3,,21.3,,,,,,,,,2023-03-08T00:00:00.000Z,40.8460555556,1068,73.9851388889,New York,,,,0.12,Ethnic,,,False,"SOUND OF LONG ISLAND, INC.",,"16,662,000",,,,26.9687162891,1.0,10,WXBK-HD3,40.7128,"New York, NY",-74.006,FX,RADIO KOREA,NJ,2023-03-30T00:00:00.000Z,False,0.0,False,0.0
